                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1935,                0.53945,                 1.0697,                0.91421,                0.91954,                0.94808,                0.56858,                 1.5373,                0.61595,                 1.3204,               0.000614,               0.000614,               0.000614
                     72,                 1.1764,                0.52691,                 1.0528,                0.91737,                0.91371,                0.94575,                0.56749,                 1.5348,                0.61271,                   1.32,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1694,                0.52955,                 1.0564,                0.90688,                0.93401,                0.94666,                0.56858,                 1.5311,                0.61183,                 1.3208,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1577,                0.52091,                 1.0588,                0.91136,                0.93655,                0.94762,                0.56886,                 1.5111,                0.60112,                 1.3079,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1564,                0.52139,                 1.0491,                 0.9314,                0.91314,                0.94624,                0.56769,                 1.5403,                 0.6078,                  1.327,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1399,                0.51574,                 1.0495,                0.93351,                0.91117,                0.94705,                0.56485,                 1.5377,                0.60177,                  1.329,               0.000515,               0.000515,               0.000515
                     77,                 1.1555,                0.51942,                 1.0554,                0.91661,                 0.9264,                 0.9471,                 0.5639,                 1.5403,                0.60125,                 1.3271,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1519,                0.51683,                 1.0567,                0.93637,                0.91501,                 0.9475,                0.56446,                 1.5457,                0.60266,                 1.3295,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1453,                0.51303,                 1.0452,                0.93301,                0.91901,                0.94587,                0.56002,                 1.5483,                0.59911,                 1.3333,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1443,                0.51243,                 1.0456,                0.92333,                0.91696,                0.94457,                0.56638,                 1.5493,                0.60807,                 1.3296,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1301,                0.51142,                 1.0425,                0.92477,                0.91751,                0.94325,                 0.5689,                 1.5402,                0.60516,                 1.3309,               0.000416,               0.000416,               0.000416
                     82,                 1.1246,                 0.5074,                 1.0405,                0.91281,                0.92259,                0.94337,                0.56881,                 1.5457,                0.60369,                 1.3379,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1243,                0.50097,                 1.0405,                0.92244,                0.91497,                0.93874,                0.56017,                 1.5491,                0.60276,                 1.3343,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1058,                0.49662,                 1.0354,                0.93102,                0.90863,                0.94152,                0.56256,                 1.5456,                0.60274,                 1.3317,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0952,                0.48844,                 1.0303,                0.93102,                0.91624,                0.94496,                0.56584,                 1.5537,                0.59744,                 1.3398,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0943,                0.47847,                   1.03,                0.91299,                0.93209,                0.94599,                0.56625,                 1.5568,                0.60343,                 1.3416,               0.000317,               0.000317,               0.000317
                     87,                 1.1053,                0.49145,                 1.0351,                0.91532,                0.92766,                0.94362,                0.56771,                 1.5479,                0.59731,                 1.3396,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0935,                0.48418,                 1.0287,                0.91532,                0.93274,                0.94464,                0.56649,                 1.5487,                0.59864,                 1.3454,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1109,                0.49398,                 1.0391,                0.91832,                0.92743,                0.94166,                0.56512,                 1.5574,                0.59676,                 1.3422,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1331,                0.48358,                 1.0836,                0.91989,                  0.918,                0.94141,                0.55729,                 1.5632,                0.60008,                 1.3426,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1088,                0.46767,                 1.0803,                0.90784,                0.92005,                0.93848,                0.55898,                 1.5598,                0.60453,                 1.3402,               0.000218,               0.000218,               0.000218
                     92,                 1.0983,                0.47034,                 1.0752,                0.90258,                0.92893,                0.94144,                0.56033,                 1.5643,                 0.6052,                 1.3419,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0871,                0.45711,                 1.0692,                0.90929,                0.92893,                0.94246,                0.56191,                 1.5657,                0.60443,                 1.3424,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0831,                0.45442,                 1.0686,                0.91447,                0.92267,                0.94419,                0.56212,                  1.563,                0.60367,                 1.3419,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0728,                0.45222,                 1.0642,                0.91231,                0.92425,                0.94214,                0.56347,                 1.5593,                0.60533,                 1.3411,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.068,                0.45578,                 1.0633,                0.91752,                0.91624,                0.94182,                0.56229,                  1.563,                0.60644,                 1.3447,               0.000119,               0.000119,               0.000119
                     97,                 1.0641,                0.44798,                 1.0594,                 0.9239,                0.90907,                0.94266,                0.56236,                 1.5628,                0.60775,                 1.3453,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0597,                 0.4433,                 1.0615,                0.91573,                0.92397,                0.94352,                0.56357,                 1.5589,                0.60942,                 1.3421,               7.94e-05,               7.94e-05,               7.94e-05
